resource_id,resource_type,subject,topic,learning_goal,vark_visual,vark_auditory,vark_reading,vark_kinesthetic,difficulty_level,effectiveness_rating,url,,description,duration_minutes,,has_visuals,has_audio,has_text,is_interactive,,,,user_ratings_average,completion_rate,,time_spent_average,,,,,,vark_dominant_style
EDU_000016,podcast,Mathematics,Differential Equations,Prepare for standardized tests and assessments,49,39,86,18,Beginner,4.9,https://www.bbc.co.uk/programmes/b006qykl,,Mathematics - Differential Equations: Prepare for standardized tests and assessments,57,,False,True,False,False,,,,4.16,0.95,,57,,,,,,vark_reading
EDU_000017,quiz,Mathematics,Algebra,Synthesize information from multiple sources,27,36,75,40,Advanced,4.9,https://www.prodigy.com/,,Mathematics - Algebra: Synthesize information from multiple sources,30,,False,False,False,False,,,,3.77,0.9,,25.6,,,,,,vark_reading
EDU_000018,worksheet,Mathematics,Logic,Develop research and inquiry skills,8,76,48,14,Advanced,3.8,https://www.math-drills.com/,,Mathematics - Logic: Develop research and inquiry skills,90,,False,False,True,False,,,,3.99,0.74,,105.2,,,,,,vark_auditory
EDU_000019,audio,Mathematics,Discrete Mathematics,Develop research and inquiry skills,39,90,22,8,Beginner,4.5,https://www.ted.com/talks,,Mathematics - Discrete Mathematics: Develop research and inquiry skills,38,,False,True,False,False,,,,4.08,0.76,,44.5,,,,,,vark_auditory
EDU_000020,virtual_lab,Mathematics,Differential Equations,Prepare for standardized tests and assessments,20,6,70,17,Advanced,3.7,https://www.biologysimulations.com/,,Mathematics - Differential Equations: Prepare for standardized tests and assessments,20,,False,False,False,True,,,,4.54,0.72,,22.5,,,,,,vark_reading
EDU_000021,audio,Mathematics,Linear Algebra,Develop practical skills and competencies,2,56,19,98,Advanced,5,https://www.bbc.co.uk/programmes/b006qykl,,Mathematics - Linear Algebra: Develop practical skills and competencies,12,,False,True,False,False,,,,4.6,0.94,,12.6,,,,,,vark_kinesthetic
EDU_000022,educational_game,Mathematics,Geometry,Synthesize information from multiple sources,44,18,57,74,Advanced,3.6,https://www.abcya.com/grades/k,,Mathematics - Geometry: Synthesize information from multiple sources,60,,False,False,False,True,,,,4.19,0.83,,64.9,,,,,,vark_kinesthetic
EDU_000023,interactive_simulation,Mathematics,Combinatorics,Develop practical skills and competencies,59,56,92,30,Beginner,4.7,https://www.mathsisfun.com/,,Mathematics - Combinatorics: Develop practical skills and competencies,39,,False,False,False,True,,,,4.91,0.94,,44.5,,,,,,vark_reading
EDU_000024,tutorial,Mathematics,Calculus,Synthesize information from multiple sources,34,49,2,68,Advanced,4.8,https://mathworld.wolfram.com/,,Mathematics - Calculus: Synthesize information from multiple sources,15,,False,False,False,False,,,,4.59,0.68,,16.5,,,,,,vark_kinesthetic
EDU_000025,documentary,Mathematics,Differential Equations,Build foundation for advanced study,30,89,14,43,Advanced,3.1,https://www.netflix.com/title/81254224,,Mathematics - Differential Equations: Build foundation for advanced study,68,,False,False,False,False,,,,3.72,0.77,,80.5,,,,,,vark_auditory
EDU_000026,assessment,Mathematics,Combinatorics,Develop practical skills and competencies,14,75,2,1,Expert,3.9,https://www.mathsisfun.com/definitions/,,Mathematics - Combinatorics: Develop practical skills and competencies,25,,False,False,False,False,,,,4.64,0.95,,23.4,,,,,,vark_auditory
EDU_000027,worksheet,Mathematics,Calculus,Prepare for standardized tests and assessments,27,91,59,1,Expert,4.4,https://www.mathworksheets4kids.com/,,Mathematics - Calculus: Prepare for standardized tests and assessments,65,,False,False,True,False,,,,3.99,0.81,,53.1,,,,,,vark_auditory
EDU_000028,text,Mathematics,Algebra,Apply knowledge to solve real-world problems,85,13,10,39,Advanced,4.6,https://www.khanacademy.org/math,,Mathematics - Algebra: Apply knowledge to solve real-world problems,20,,False,False,True,False,,,,4.99,0.93,,23.5,,,,,,vark_visual
EDU_000029,tutorial,Mathematics,Logic,Develop research and inquiry skills,49,55,7,69,Intermediate,4.9,https://www.geogebra.org/classic,,Mathematics - Logic: Develop research and inquiry skills,41,,False,False,False,False,,,,4.35,0.93,,38.7,,,,,,vark_kinesthetic
EDU_000030,video,Mathematics,Geometry,Synthesize information from multiple sources,44,7,46,88,Advanced,3.7,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,Mathematics - Geometry: Synthesize information from multiple sources,45,,True,True,False,False,,,,4.26,0.87,,51.7,,,,,,vark_kinesthetic
EDU_000031,lecture,Mathematics,Statistics,Understand fundamental concepts and principles,40,35,52,92,Intermediate,3.2,https://brilliant.org/math/,,Mathematics - Statistics: Understand fundamental concepts and principles,32,,False,True,False,False,,,,4.78,0.74,,31.1,,,,,,vark_kinesthetic
EDU_000032,research_paper,Mathematics,Set Theory,Build foundation for advanced study,75,23,23,20,Beginner,3.5,https://www.jstor.org/subject/mathematics,,Mathematics - Set Theory: Build foundation for advanced study,78,,False,False,True,False,,,,3.87,0.67,,83.5,,,,,,vark_visual
EDU_000033,virtual_lab,Mathematics,Set Theory,Synthesize information from multiple sources,47,61,0,54,Beginner,4.8,https://www.biologysimulations.com/,,Mathematics - Set Theory: Synthesize information from multiple sources,35,,False,False,False,True,,,,4.58,0.89,,29.5,,,,,,vark_auditory
EDU_000034,animation,Mathematics,Set Theory,Understand fundamental concepts and principles,57,97,17,1,Intermediate,4.7,https://brilliant.org/courses/,,Mathematics - Set Theory: Understand fundamental concepts and principles,51,,True,False,False,False,,,,3.89,0.77,,57.7,,,,,,vark_auditory
EDU_000035,tutorial,Mathematics,Set Theory,Build foundation for advanced study,22,72,48,1,Expert,3.9,https://www.desmos.com/calculator,,Mathematics - Set Theory: Build foundation for advanced study,36,,False,False,False,False,,,,3.71,0.62,,30.9,,,,,,vark_auditory
EDU_000036,research_paper,Mathematics,Set Theory,Develop practical skills and competencies,27,43,6,97,Advanced,4.7,https://link.springer.com/journal/10649,,Mathematics - Set Theory: Develop practical skills and competencies,29,,False,False,True,False,,,,4.1,0.64,,23.8,,,,,,vark_kinesthetic
EDU_000037,video,Mathematics,Logic,Connect concepts to everyday experiences,11,78,7,9,Advanced,4.1,https://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,,Mathematics - Logic: Connect concepts to everyday experiences,32,,True,True,False,False,,,,4.6,0.63,,27.2,,,,,,vark_auditory
EDU_000038,interactive_simulation,Mathematics,Geometry,Develop practical skills and competencies,78,5,25,39,Beginner,3.8,https://www.desmos.com/calculator,,Mathematics - Geometry: Develop practical skills and competencies,67,,False,False,False,True,,,,4.84,0.85,,74.4,,,,,,vark_visual
EDU_000039,podcast,Mathematics,Algebra,Apply knowledge to solve real-world problems,82,3,6,17,Intermediate,4.3,https://podcasts.apple.com/us/podcast/stuff-you-should-know/id278981407,,Mathematics - Algebra: Apply knowledge to solve real-world problems,47,,False,True,False,False,,,,4.74,0.66,,45,,,,,,vark_visual
EDU_000040,audio,Mathematics,Linear Algebra,Foster creative thinking and innovation,44,77,6,28,Beginner,4.5,https://www.npr.org/podcasts/510289/planet-money,,Mathematics - Linear Algebra: Foster creative thinking and innovation,44,,False,True,False,False,,,,4.08,0.6,,41.2,,,,,,vark_auditory
EDU_000041,documentary,Mathematics,Logic,Develop research and inquiry skills,9,43,36,81,Expert,4,https://www.pbs.org/show/nova/,,Mathematics - Logic: Develop research and inquiry skills,41,,False,False,False,False,,,,3.56,0.93,,44.2,,,,,,vark_kinesthetic
EDU_000042,podcast,Mathematics,Statistics,Apply knowledge to solve real-world problems,34,12,3,63,Advanced,4.9,https://www.bbc.co.uk/programmes/b006qykl,,Mathematics - Statistics: Apply knowledge to solve real-world problems,29,,False,True,False,False,,,,4.19,0.88,,30.1,,,,,,vark_kinesthetic
EDU_000043,video,Mathematics,Algebra,Build foundation for advanced study,27,27,13,90,Expert,3.7,https://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,,Mathematics - Algebra: Build foundation for advanced study,51,,True,True,False,False,,,,3.97,0.93,,58.7,,,,,,vark_kinesthetic
EDU_000044,text,Mathematics,Geometry,Understand fundamental concepts and principles,95,13,14,31,Intermediate,4,https://brilliant.org/math/,,Mathematics - Geometry: Understand fundamental concepts and principles,41,,False,False,True,False,,,,3.56,0.72,,48.2,,,,,,vark_visual
EDU_000045,documentary,Mathematics,Mathematical Analysis,Develop research and inquiry skills,13,53,87,33,Expert,3.9,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,,Mathematics - Mathematical Analysis: Develop research and inquiry skills,81,,False,False,False,False,,,,3.59,0.7,,67.9,,,,,,vark_reading
EDU_000046,animation,Mathematics,Probability,Analyze and evaluate information critically,49,34,0,91,Expert,4.3,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,,Mathematics - Probability: Analyze and evaluate information critically,43,,True,False,False,False,,,,4.8,0.77,,42.3,,,,,,vark_kinesthetic
EDU_000047,audio,Mathematics,Probability,Foster creative thinking and innovation,0,43,63,20,Beginner,4,https://www.npr.org/podcasts/510289/planet-money,,Mathematics - Probability: Foster creative thinking and innovation,17,,False,True,False,False,,,,4.54,0.69,,18.8,,,,,,vark_reading
EDU_000048,quiz,Mathematics,Set Theory,Apply knowledge to solve real-world problems,18,17,96,26,Advanced,4.7,https://www.ixl.com/math/,,Mathematics - Set Theory: Apply knowledge to solve real-world problems,35,,False,False,False,False,,,,3.82,0.83,,30.2,,,,,,vark_reading
EDU_000049,infographic,Mathematics,Trigonometry,Prepare for standardized tests and assessments,42,77,21,59,Advanced,3.1,https://brilliant.org/courses/,,Mathematics - Trigonometry: Prepare for standardized tests and assessments,78,,True,False,False,False,,,,4.31,0.6,,66.5,,,,,,vark_auditory
EDU_000050,educational_game,Mathematics,Number Theory,Develop research and inquiry skills,59,13,63,50,Intermediate,4.7,https://www.funbrain.com/games,,Mathematics - Number Theory: Develop research and inquiry skills,47,,False,False,False,True,,,,4.16,0.86,,51.2,,,,,,vark_reading
EDU_000051,project,Mathematics,Geometry,Connect concepts to everyday experiences,38,20,96,41,Beginner,4.7,https://scratch.mit.edu/explore/projects/games/,,Mathematics - Geometry: Connect concepts to everyday experiences,47,,False,False,False,False,,,,3.68,0.91,,45.3,,,,,,vark_reading
EDU_000052,webinar,Mathematics,Geometry,Build foundation for advanced study,81,57,40,38,Intermediate,3.7,https://www.khanacademy.org/math,,Mathematics - Geometry: Build foundation for advanced study,84,,False,True,False,False,,,,3.51,0.83,,67.5,,,,,,vark_visual
EDU_000053,quiz,Mathematics,Combinatorics,Prepare for standardized tests and assessments,71,20,56,34,Advanced,4.2,https://www.prodigy.com/,,Mathematics - Combinatorics: Prepare for standardized tests and assessments,15,,False,False,False,False,,,,4.77,0.87,,14.5,,,,,,vark_visual
EDU_000054,lecture,Mathematics,Calculus,Develop practical skills and competencies,57,5,75,20,Expert,4.7,https://www.mathsisfun.com/,,Mathematics - Calculus: Develop practical skills and competencies,37,,False,True,False,False,,,,4.34,0.93,,41.1,,,,,,vark_reading
EDU_000055,presentation,Mathematics,Graph Theory,Understand fundamental concepts and principles,16,25,97,6,Intermediate,4.3,https://www.khanacademy.org/math,,Mathematics - Graph Theory: Understand fundamental concepts and principles,19,,True,False,False,False,,,,4.45,0.83,,21.6,,,,,,vark_reading
EDU_000056,podcast,Mathematics,Set Theory,Synthesize information from multiple sources,55,74,51,2,Intermediate,3.7,https://podcasts.apple.com/us/podcast/stuff-you-should-know/id278981407,,Mathematics - Set Theory: Synthesize information from multiple sources,41,,False,True,False,False,,,,4.65,0.62,,36.8,,,,,,vark_auditory
EDU_000057,virtual_lab,Mathematics,Probability,Apply knowledge to solve real-world problems,27,12,11,77,Advanced,3.9,https://lab.concord.org/,,Mathematics - Probability: Apply knowledge to solve real-world problems,27,,False,False,False,True,,,,4.09,0.93,,21.9,,,,,,vark_kinesthetic
EDU_000058,video,Mathematics,Trigonometry,Analyze and evaluate information critically,76,29,33,57,Expert,4.2,https://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,,Mathematics - Trigonometry: Analyze and evaluate information critically,36,,True,True,False,False,,,,4.39,0.64,,42.5,,,,,,vark_visual
EDU_000059,quiz,Mathematics,Probability,Foster creative thinking and innovation,13,49,80,15,Beginner,3.6,https://www.khanacademy.org/math/arithmetic/xa89c0ac1ab1b9de1:arithmetic-subject-mastery,,Mathematics - Probability: Foster creative thinking and innovation,16,,False,False,False,False,,,,3.78,0.68,,18.1,,,,,,vark_reading
EDU_000060,assessment,Mathematics,Number Theory,Apply knowledge to solve real-world problems,94,42,6,5,Advanced,4.9,https://www.mathsisfun.com/definitions/,,Mathematics - Number Theory: Apply knowledge to solve real-world problems,26,,False,False,False,False,,,,4.37,0.6,,27.6,,,,,,vark_visual
EDU_000061,text,Mathematics,Number Theory,Connect concepts to everyday experiences,81,25,57,54,Beginner,4.3,https://www.mathsisfun.com/,,Mathematics - Number Theory: Connect concepts to everyday experiences,58,,False,False,True,False,,,,3.97,0.7,,61.5,,,,,,vark_visual
EDU_000062,interactive_simulation,Mathematics,Mathematical Analysis,Prepare for standardized tests and assessments,27,22,35,96,Intermediate,4.1,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,,Mathematics - Mathematical Analysis: Prepare for standardized tests and assessments,89,,False,False,False,True,,,,4.02,0.85,,84.7,,,,,,vark_kinesthetic
EDU_000063,text,Mathematics,Statistics,Connect concepts to everyday experiences,21,77,35,52,Intermediate,3.8,https://mathworld.wolfram.com/,,Mathematics - Statistics: Connect concepts to everyday experiences,46,,False,False,True,False,,,,4.56,0.6,,46.4,,,,,,vark_auditory
EDU_000064,lecture,Physics,Electromagnetism,Foster creative thinking and innovation,69,30,15,56,Expert,3.6,https://www.khanacademy.org/science/physics,,Physics - Electromagnetism: Foster creative thinking and innovation,49,,False,True,False,False,,,,4.49,0.74,,50.3,,,,,,vark_visual
EDU_000065,project,Physics,Relativity,Analyze and evaluate information critically,48,58,33,89,Advanced,4.3,https://www.khanacademy.org/math,,Physics - Relativity: Analyze and evaluate information critically,76,,False,False,False,False,,,,3.89,0.83,,69.6,,,,,,vark_kinesthetic
EDU_000066,assessment,Physics,Acoustics,Connect concepts to everyday experiences,85,8,40,60,Advanced,3.4,https://www.prodigy.com/,,Physics - Acoustics: Connect concepts to everyday experiences,33,,False,False,False,False,,,,4.04,0.94,,34.9,,,,,,vark_visual
EDU_000067,lecture,Physics,Mechanics,Prepare for standardized tests and assessments,96,45,0,22,Intermediate,3.7,https://www.khanacademy.org/science/physics,,Physics - Mechanics: Prepare for standardized tests and assessments,50,,False,True,False,False,,,,4.16,0.72,,44.5,,,,,,vark_visual
EDU_000068,webinar,Physics,Nuclear Physics,Build foundation for advanced study,37,33,86,9,Expert,3.8,https://www.coursera.org/learn/learning-how-to-learn,,Physics - Nuclear Physics: Build foundation for advanced study,35,,False,True,False,False,,,,4.49,0.73,,29.9,,,,,,vark_reading
EDU_000069,assessment,Physics,Nuclear Physics,Foster creative thinking and innovation,96,55,14,39,Beginner,3.9,https://www.ixl.com/math/,,Physics - Nuclear Physics: Foster creative thinking and innovation,25,,False,False,False,False,,,,3.62,0.84,,25.7,,,,,,vark_visual
EDU_000070,project,Physics,Optics,Develop practical skills and competencies,71,60,5,48,Intermediate,4.4,https://www.mathsisfun.com/definitions/,,Physics - Optics: Develop practical skills and competencies,25,,False,False,False,False,,,,4.73,0.83,,26.8,,,,,,vark_visual
EDU_000071,text,Physics,Nuclear Physics,Develop research and inquiry skills,71,33,24,31,Beginner,4.7,https://www.khanacademy.org/science/physics,,Physics - Nuclear Physics: Develop research and inquiry skills,62,,False,False,True,False,,,,4.93,0.74,,57.1,,,,,,vark_visual
EDU_000072,research_paper,Physics,Mechanics,Understand fundamental concepts and principles,31,11,79,8,Intermediate,5,https://www.jstor.org/subject/mathematics,,Physics - Mechanics: Understand fundamental concepts and principles,32,,False,False,True,False,,,,4.79,0.76,,27.3,,,,,,vark_reading
EDU_000073,worksheet,Physics,Plasma Physics,Understand fundamental concepts and principles,56,84,55,2,Intermediate,4.5,https://www.khanacademy.org/math/arithmetic/xa89c0ac1ab1b9de1:arithmetic-subject-mastery,,Physics - Plasma Physics: Understand fundamental concepts and principles,49,,False,False,True,False,,,,3.61,0.77,,53.6,,,,,,vark_auditory
EDU_000074,project,Physics,Acoustics,Connect concepts to everyday experiences,16,41,24,98,Expert,4.8,https://www.mathsisfun.com/definitions/,,Physics - Acoustics: Connect concepts to everyday experiences,59,,False,False,False,False,,,,4.53,0.88,,58.4,,,,,,vark_kinesthetic
EDU_000075,video,Physics,Particle Physics,Understand fundamental concepts and principles,71,19,36,11,Expert,4.3,https://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,,Physics - Particle Physics: Understand fundamental concepts and principles,21,,True,True,False,False,,,,4.6,0.8,,22,,,,,,vark_visual
EDU_000076,educational_game,Physics,Acoustics,Develop practical skills and competencies,98,52,42,9,Expert,4.2,https://www.coolmath-games.com/0-prodigy-math-game,,Physics - Acoustics: Develop practical skills and competencies,83,,False,False,False,True,,,,4.15,0.77,,84.5,,,,,,vark_visual
EDU_000077,infographic,Physics,Particle Physics,Synthesize information from multiple sources,53,15,82,48,Beginner,4.3,https://www.khanacademy.org/math,,Physics - Particle Physics: Synthesize information from multiple sources,73,,True,False,False,False,,,,3.85,0.67,,74.9,,,,,,vark_reading
EDU_000078,video,Physics,Optics,Prepare for standardized tests and assessments,24,0,54,71,Advanced,4.8,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,,Physics - Optics: Prepare for standardized tests and assessments,21,,True,True,False,False,,,,3.74,0.75,,19.2,,,,,,vark_kinesthetic
EDU_000079,documentary,Physics,Electromagnetism,Synthesize information from multiple sources,86,58,18,50,Beginner,4.1,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,,Physics - Electromagnetism: Synthesize information from multiple sources,24,,False,False,False,False,,,,4.32,0.89,,19.5,,,,,,vark_visual
EDU_000080,lecture,Physics,Electromagnetism,Prepare for standardized tests and assessments,38,22,99,25,Beginner,4,https://www.physicsclassroom.com/,,Physics - Electromagnetism: Prepare for standardized tests and assessments,53,,False,True,False,False,,,,4.57,0.87,,45.2,,,,,,vark_reading
EDU_000081,presentation,Physics,Fluid Mechanics,Foster creative thinking and innovation,33,58,91,26,Expert,4.7,https://www.coursera.org/browse/math-and-logic,,Physics - Fluid Mechanics: Foster creative thinking and innovation,26,,True,False,False,False,,,,4.44,0.68,,28.3,,,,,,vark_reading
EDU_000082,interactive_simulation,Physics,Thermodynamics,Connect concepts to everyday experiences,85,36,32,6,Expert,4.7,https://brilliant.org/physics/,,Physics - Thermodynamics: Connect concepts to everyday experiences,80,,False,False,False,True,,,,4.38,0.91,,67.4,,,,,,vark_visual
EDU_000083,audio,Physics,Particle Physics,Foster creative thinking and innovation,71,22,57,43,Expert,4.4,https://podcasts.apple.com/us/podcast/radiolab/id152249110,,Physics - Particle Physics: Foster creative thinking and innovation,41,,False,True,False,False,,,,3.52,0.66,,44.3,,,,,,vark_visual
EDU_000084,text,Physics,Relativity,Analyze and evaluate information critically,13,55,26,64,Advanced,3.9,https://www.physicsclassroom.com/,,Physics - Relativity: Analyze and evaluate information critically,75,,False,False,True,False,,,,4.3,0.71,,62.4,,,,,,vark_kinesthetic
EDU_000085,video,Physics,Particle Physics,Apply knowledge to solve real-world problems,35,0,100,15,Intermediate,3.8,https://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,,Physics - Particle Physics: Apply knowledge to solve real-world problems,17,,True,True,False,False,,,,4.39,0.77,,15.6,,,,,,vark_reading
EDU_000086,quiz,Physics,Quantum Physics,Build foundation for advanced study,57,85,53,4,Beginner,3,https://www.khanacademy.org/math/arithmetic/xa89c0ac1ab1b9de1:arithmetic-subject-mastery,,Physics - Quantum Physics: Build foundation for advanced study,37,,False,False,False,False,,,,4.95,0.71,,41.1,,,,,,vark_auditory
EDU_000087,case_study,Physics,Solid State Physics,Apply knowledge to solve real-world problems,51,47,99,50,Intermediate,3.2,https://hbr.org/topic/mathematics,,Physics - Solid State Physics: Apply knowledge to solve real-world problems,34,,False,False,True,False,,,,4.41,0.6,,35.7,,,,,,vark_reading
EDU_000088,quiz,Physics,Nuclear Physics,Develop research and inquiry skills,96,50,25,33,Intermediate,3.8,https://www.sporcle.com/games/category/science,,Physics - Nuclear Physics: Develop research and inquiry skills,17,,False,False,False,False,,,,3.54,0.88,,20.1,,,,,,vark_visual
EDU_000089,infographic,Physics,Quantum Physics,Understand fundamental concepts and principles,41,64,36,17,Intermediate,3.4,https://brilliant.org/courses/,,Physics - Quantum Physics: Understand fundamental concepts and principles,55,,True,False,False,False,,,,3.6,0.72,,59,,,,,,vark_auditory
EDU_000090,case_study,Physics,Relativity,Foster creative thinking and innovation,50,43,60,19,Expert,3.5,https://www.mathsisfun.com/definitions/,,Physics - Relativity: Foster creative thinking and innovation,50,,False,False,True,False,,,,4.57,0.91,,54.7,,,,,,vark_reading
EDU_000091,research_paper,Physics,Nuclear Physics,Analyze and evaluate information critically,94,30,37,5,Expert,3.4,https://www.ams.org/journals/,,Physics - Nuclear Physics: Analyze and evaluate information critically,24,,False,False,True,False,,,,4.48,0.72,,19.9,,,,,,vark_visual
EDU_000092,project,Physics,Particle Physics,Foster creative thinking and innovation,82,50,40,26,Intermediate,4,https://www.khanacademy.org/math,,Physics - Particle Physics: Foster creative thinking and innovation,37,,False,False,False,False,,,,4.35,0.9,,42.2,,,,,,vark_visual
EDU_000093,podcast,Physics,Electromagnetism,Analyze and evaluate information critically,41,8,69,41,Expert,4.9,https://www.ted.com/podcasts/ted-talks-daily,,Physics - Electromagnetism: Analyze and evaluate information critically,81,,False,True,False,False,,,,4.84,0.66,,91.1,,,,,,vark_reading
EDU_000094,quiz,Physics,Acoustics,Connect concepts to everyday experiences,33,47,80,48,Beginner,4.2,https://www.prodigy.com/,,Physics - Acoustics: Connect concepts to everyday experiences,33,,False,False,False,False,,,,4.33,0.91,,33.1,,,,,,vark_reading
EDU_000095,documentary,Physics,Nuclear Physics,Connect concepts to everyday experiences,6,20,50,88,Intermediate,4,https://www.bbc.co.uk/programmes/b006mgxf,,Physics - Nuclear Physics: Connect concepts to everyday experiences,47,,False,False,False,False,,,,4.24,0.89,,51.8,,,,,,vark_kinesthetic
EDU_000096,documentary,Physics,Nuclear Physics,Analyze and evaluate information critically,93,14,23,4,Expert,4.4,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,,Physics - Nuclear Physics: Analyze and evaluate information critically,46,,False,False,False,False,,,,3.66,0.91,,43.4,,,,,,vark_visual
EDU_000097,project,Physics,Particle Physics,Analyze and evaluate information critically,50,55,89,50,Intermediate,4.4,https://brilliant.org/courses/,,Physics - Particle Physics: Analyze and evaluate information critically,20,,False,False,False,False,,,,4.2,0.88,,23.8,,,,,,vark_reading
EDU_000098,podcast,Physics,Acoustics,Prepare for standardized tests and assessments,87,26,5,54,Beginner,3,https://www.npr.org/podcasts/510289/planet-money,,Physics - Acoustics: Prepare for standardized tests and assessments,47,,False,True,False,False,,,,4.77,0.76,,38.4,,,,,,vark_visual
EDU_000099,case_study,Physics,Thermodynamics,Build foundation for advanced study,72,30,25,22,Advanced,4,https://www.khanacademy.org/math,,Physics - Thermodynamics: Build foundation for advanced study,51,,False,False,True,False,,,,3.72,0.64,,60.6,,,,,,vark_visual
